molecule_chembl_id,smiles,molecular_weight,molecule_name,n,p_median,p_median_kiki,frac_active,frac_inactive,n_strong_active,n_strong_inactive,any_active_vote,consensus_label
CHEMBL104693,CCCc1[nH]c2ccc3c(c2c1C(=O)OCC)CN1CCc2cc(SC)ccc2C1O3,436.58,,1,7.0,7.0,1.0,0.0,0,0,True,active_single
CHEMBL105122,CCOC(=O)c1c(C)[nH]c2ccc3c(c12)CN1CCc2cc(SC)ccc2C1O3,408.52,,1,6.64,6.64,1.0,0.0,0,0,True,active_single
CHEMBL105148,CCOC(=O)c1c(CC)[nH]c2ccc3c(c12)CN1CCc2cc(OC)ccc2C1O3,406.48,,1,7.04,7.04,1.0,0.0,0,0,True,active_single
CHEMBL105160,CCCCCCc1[nH]c2ccc3c(c2c1C(=O)OCC)CN1CCc2cc(OC)ccc2C1O3,462.59,,1,6.55,6.55,1.0,0.0,0,0,True,active_single
CHEMBL106218,CCOC(=O)c1c(CC)n(C)c2ccc3c(c12)CN1CCc2cc(OC)ccc2C1O3,420.51,,1,6.66,6.66,1.0,0.0,0,0,True,active_single
CHEMBL106219,CCOC(=O)c1c(CC)n(Cc2ccccc2)c2ccc3c(c12)CN1CCc2cc(OC)ccc2C1O3,496.61,,1,7.3,7.3,1.0,0.0,0,0,True,active_single
CHEMBL106224,CCCc1c(C(=O)OCC)c2c3c(ccc2n1C)OC1c2ccc(OC)cc2CCN1C3,434.54,,1,7.15,7.15,1.0,0.0,0,0,True,active_single
CHEMBL106259,CCN(C)C(=O)c1c(C)[nH]c2ccc3c(c12)CN1CCc2cc(OC)ccc2C1O3,405.5,,1,4.81,4.81,0.0,1.0,0,0,False,inactive_single
CHEMBL1076586,O=C(c1ccc(-c2ccccc2)cc1)N1CCN(C(=O)c2ccc3cc[nH]c3c2)CC1,409.49,,1,5.0,5.0,0.0,1.0,0,0,False,inactive_single
CHEMBL107679,CCOC(=O)c1c(C)n(CC)c2ccc3c(c12)CN1CCc2cc(OC)ccc2C1O3,420.51,,1,6.58,6.58,1.0,0.0,0,0,True,active_single
