bit_id,coefficient,direction,example_fragment_smiles
1357,-0.985568,negative,cc(c)c
1096,0.964244,positive,CC(C)C
1293,-0.948622,negative,cc(CC[N+])c
1126,0.940939,positive,COC
1538,-0.878168,negative,[Cl]
1224,0.793991,positive,cc(N)c
1142,0.747048,positive,CC(N)=O
486,-0.736391,negative,cC(N)=O
1060,0.71381,positive,[C]
314,-0.705334,negative,C=O
231,-0.695151,negative,cCC
586,0.692312,positive,Cc(c)c
777,-0.67618,negative,[Br]
2,0.675655,positive,cc(CCC)n
1326,0.670784,positive,Cc(c)c(c(c)C)c(c)[nH]
1309,-0.642997,negative,CC
1,0.642568,positive,[C]
1155,0.628083,positive,CC(=C)CN(C)C
1199,0.626677,positive,ccccc
1027,-0.622978,negative,cc(c)C
