bin_label,n,mean_pred,obs_freq,dataset
"(-0.001, 0.1]",69,0.03610445855523059,0.028985507246376812,Held-out test
"(0.1, 0.2]",14,0.1399896390501143,0.21428571428571427,Held-out test
"(0.2, 0.3]",13,0.24442676969320376,0.3076923076923077,Held-out test
"(0.3, 0.4]",6,0.3456050458230426,0.3333333333333333,Held-out test
"(0.4, 0.5]",11,0.44430226215140417,0.45454545454545453,Held-out test
"(0.5, 0.6]",7,0.5374855764076226,0.5714285714285714,Held-out test
"(0.6, 0.7]",8,0.6481730749417292,0.875,Held-out test
"(0.7, 0.8]",7,0.7485114928958676,0.7142857142857143,Held-out test
"(0.8, 0.9]",20,0.8515895998681797,0.85,Held-out test
"(0.9, 1.0]",291,0.989863489637183,0.9828178694158075,Held-out test
