bin_label,n,mean_pred,obs_freq,dataset
"(-0.001, 0.1]",184,0.037709527442871815,0.043478260869565216,OOF
"(0.1, 0.2]",59,0.1487170509893395,0.06779661016949153,OOF
"(0.2, 0.3]",28,0.25268457540530437,0.21428571428571427,OOF
"(0.3, 0.4]",27,0.3609621021627445,0.37037037037037035,OOF
"(0.4, 0.5]",39,0.448963434292841,0.3333333333333333,OOF
"(0.5, 0.6]",34,0.5446919176730849,0.3235294117647059,OOF
"(0.6, 0.7]",24,0.6485347335674604,0.5833333333333334,OOF
"(0.7, 0.8]",53,0.7488599208622558,0.6981132075471698,OOF
"(0.8, 0.9]",84,0.8525141353247465,0.8452380952380952,OOF
"(0.9, 1.0]",1290,0.9859187150661904,0.9914728682170543,OOF
