row_index,molecule_chembl_id,consensus_label,smiles,scaffold,true_label,pred_label,p_active,error_type
34,CHEMBL1084804,active_single,O=C(Cc1ccccc1-c1cccc(Cl)c1)NC1CCNCC1,O=C(Cc1ccccc1-c1ccccc1)NC1CCNCC1,1,1,0.7112384891550534,OK
35,CHEMBL1084805,active_single,CN(C(=O)Cc1ccccc1-c1cccc(Cl)c1)C1CCNCC1,O=C(Cc1ccccc1-c1ccccc1)NC1CCNCC1,1,1,0.8881346919890786,OK
48,CHEMBL1180285,active_single,CCN1CCC(c2ccccc2)=C(C(=O)OCCc2ccc(C)cc2)C1,O=C(OCCc1ccccc1)C1=C(c2ccccc2)CCNC1,1,0,0.37758297688914755,FN
68,CHEMBL120119,active_single,CCN1CCC(c2ccccc2)=C(C(=O)OCCc2ccc(C)cc2)C1.O=C(O)C(=O)O,O=C(OCCc1ccccc1)C1=C(c2ccccc2)CCNC1,1,0,0.4132259300609032,FN
76,CHEMBL121520,active_single,CCN1CCC(c2ccccc2)=C(C(=O)OCC2CCCCC2)C1.O=C(O)C(=O)O,O=C(OCC1CCCCC1)C1=C(c2ccccc2)CCNC1,1,1,0.9897539096881252,OK
78,CHEMBL123099,inactive_single,CCN1CCC(c2ccccc2)=C(C(=O)OCCc2ccc(OC)cc2)C1.O=C(O)C(=O)O,O=C(OCCc1ccccc1)C1=C(c2ccccc2)CCNC1,0,1,0.7391883493504455,FP
110,CHEMBL1424807,inactive_single,Clc1cccc(N2CCNCC2)c1Cl,c1ccc(N2CCNCC2)cc1,0,0,0.16557511453383814,OK
152,CHEMBL1632158,inactive_single,COC(=O)CCCCCN1CCC(CNC(=O)c2c3n(c4ccccc24)CCCO3)CC1,O=C(NCC1CCNCC1)c1c2n(c3ccccc13)CCCO2,0,1,0.7395915675361613,FP
153,CHEMBL1632174,inactive_single,O=C(O)CCCCCN1CCC(CNC(=O)c2c3n(c4ccccc24)CCCO3)CC1,O=C(NCC1CCNCC1)c1c2n(c3ccccc13)CCCO2,0,1,0.7871310674122359,FP
185,CHEMBL1683933,active_single,O=C(Nc1ccccc1-c1ccccc1)OC1CCN(CCCCCCCCNC[C@H](O)c2ccc(O)c3[nH]c(=O)ccc23)CC1,O=C(Nc1ccccc1-c1ccccc1)OC1CCN(CCCCCCCCNCCc2cccc3[nH]c(=O)ccc23)CC1,1,1,0.9999351466539367,OK
207,CHEMBL1773263,active_single,CC(C)N(CC[C@H](c1ccccc1)c1cc(CCCNC(=O)CCCCCCCCCCNC[C@H](O)c2ccc(O)c(NS(C)(=O)=O)c2)ccc1O)C(C)C,O=C(CCCCCCCCCCNCCc1ccccc1)NCCCc1cccc(Cc2ccccc2)c1,1,1,0.9997897265024964,OK
236,CHEMBL1779133,active_single,O=C(O[C@H]1C[N+]2(CCOc3ccccc3)CCC1CC2)N(Cc1ccsc1)c1ccccc1.[Br-],O=C(OC1C[N+]2(CCOc3ccccc3)CCC1CC2)N(Cc1ccsc1)c1ccccc1,1,1,0.9995965060548315,OK
238,CHEMBL1779135,active_single,CCCCN(C(=O)O[C@H]1C[N+]2(CCCc3ccccc3)CCC1CC2)c1ccccc1.[Br-],O=C(Nc1ccccc1)OC1C[N+]2(CCCc3ccccc3)CCC1CC2,1,1,0.999299421463072,OK
245,CHEMBL1802360,inactive_single,O=c1[nH]c2ccccc2n1C1CCN(CCCOc2ccc(F)cc2)CC1,O=c1[nH]c2ccccc2n1C1CCN(CCCOc2ccccc2)CC1,0,0,0.14809600682216764,OK
251,CHEMBL1900528,active_single,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@H]1[C@@H]1O[C@@H]12,O=C(OC1CC2[NH2+]C(C1)C1OC21)C(c1cccs1)c1cccs1,1,1,0.993691409126378,OK
276,CHEMBL1916224,inactive_single,CCOC(=O)N1CCC(N2CCC[C@@H](NC(=O)c3ccccc3C)C2)CC1,O=C(NC1CCCN(C2CCNCC2)C1)c1ccccc1,0,0,0.057895472344582775,OK
282,CHEMBL1921908,active_single,C[C@@](C(=O)O[C@H]1C[N+]2(CCc3ccc(Cl)s3)CCC1CC2)(c1ccccc1)N1CCCCC1,O=C(OC1C[N+]2(CCc3cccs3)CCC1CC2)C(c1ccccc1)N1CCCCC1,1,1,0.999584413596253,OK
283,CHEMBL1921909,active_single,Cc1ccc(CC[N+]23CCC(CC2)[C@@H](OC(=O)[C@](C)(c2ccccc2)N2CCCCC2)C3)s1,O=C(OC1C[N+]2(CCc3cccs3)CCC1CC2)C(c1ccccc1)N1CCCCC1,1,1,0.9993455879304697,OK
322,CHEMBL1922049,active_single,C[C@@](C(=O)O[C@H]1C[N+]2(CC(=O)Nc3cccnn3)CCC1CC2)(c1ccccc1)N1CCCCC1,O=C(C[N+]12CCC(CC1)C(OC(=O)C(c1ccccc1)N1CCCCC1)C2)Nc1cccnn1,1,1,0.9954674357421814,OK
335,CHEMBL1924028,active_single,CC(C(=O)OC1CC[N+](C)(C)CC1)(c1ccccc1)N1CCCC1,O=C(OC1CC[NH2+]CC1)C(c1ccccc1)N1CCCC1,1,1,0.9858156941253126,OK
367,CHEMBL1983100,inactive_single,O=C(CN1CCNCC1)NC1CCCCC1,O=C(CN1CCNCC1)NC1CCCCC1,0,0,0.3306816804185188,OK
370,CHEMBL200171,active_single,CO[C@]1(C#C[C@@](O)(c2ccccc2)c2cccnc2)CN2CCC1CC2,C(#CC1CN2CCC1CC2)C(c1ccccc1)c1cccnc1,1,1,0.9133264199975074,OK
375,CHEMBL200319,active_single,COC1(C#CC(O)(c2ccccc2)c2cccnc2)CN2CCC1CC2,C(#CC1CN2CCC1CC2)C(c1ccccc1)c1cccnc1,1,1,0.9039944443653392,OK
391,CHEMBL2021997,active_single,C[N@+]1(CCCOCc2ccccc2)C2CCC1C[C@@H](CC(C#N)(c1ccccc1)c1ccccc1)C2.[Br-],c1ccc(COCCC[NH+]2C3CCC2CC(CC(c2ccccc2)c2ccccc2)C3)cc1,1,1,0.9868472556726853,OK
