scaffold,n,mcc,bal_acc,n_errors,pos_frac
O=C(OCCc1ccccc1)C1=C(c2ccccc2)CCNC1,6,-0.4472135954999579,0.3333333333333333,4,0.5
O=C(OC1CN2CCC1CC2)N1CCc2ccccc2C1c1ccccc1,4,-0.3333333333333333,0.3333333333333333,2,0.25
O=C(NCc1cccc(-c2cccc(CN3CCNCC3)c2)c1)c1ccc2c(c1)OCO2,10,-0.21821789023599236,0.3333333333333333,4,0.9
O=C(Nc1ccccc1)NC(Cc1ccccc1)C(=O)NC1CCN(Cc2ccccc2)C1,17,0.0,0.5,1,0.9411764705882353
C1=C(Cc2ccccn2)c2ccccc2C1,9,0.0,0.5,8,0.8888888888888888
c1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,4,0.0,0.5,1,0.25
c1ccc2c(c1)CNC(CNC1CCCc3cccnc31)C2,4,0.0,0.5,1,0.25
C1=C(c2ccccc2)CCNC1,7,0.47140452079103173,0.8333333333333333,2,0.8571428571428571
O=C1Nc2ccccc2N(C(=O)CN2CCCCC2)c2ccccc21,7,0.5477225575051661,0.8,2,0.2857142857142857
c1ccc2c(c1)Nc1ccccc1S2,5,1.0,1.0,0,0.8
O=C1CCc2ccccc2N1CCCN1CCCCC1,3,1.0,1.0,0,0.3333333333333333
