NP-ID,molecular_name,molecular_formula,MW,XLogP,SMILES,InChIKey,Murcko_scaffold,p_antagonist,is_top_hit,UMAP1,UMAP2
CNP0401229,,C23H24N2O8,456.4461495525701,0.6462999999999994,COc1cc(C=CC(=O)c2nc3ccccc3[nH]2)ccc1OC1OC(CO)C(O)C(O)C1O,LBAAVQLOIVHFGE-UHFFFAOYSA-N,O=C(C=Cc1ccc(OC2CCCCO2)cc1)c1nc2ccccc2[nH]1,5.179776359645802e-05,False,6.8584337,8.623325
CNP0169123,,C16H15ClN2O7,382.7530641412366,0.3199199999999995,Cc1c(CC(=O)NCC(=O)NCC(=O)O)c(=O)oc2cc(O)c(Cl)cc12,PGCZVTQDTCKHKJ-UHFFFAOYSA-N,O=c1ccc2ccccc2o1,0.9995772896847568,False,6.052636,10.350445
CNP0413470,,C5H10O2,102.1318968773367,0.3463,CCC(O)C(C)=O,HDKKRASBPHFULQ-UHFFFAOYSA-N,,0.8630135197376941,False,7.9016066,4.442226
CNP0005850,,C16H27N3O3,309.40449910572045,-0.2172999999999978,CC(=O)N1CC2COCCN2C2(C1)CN(C1CCOCC1)C2,OSGDPMSTNVZRKG-UHFFFAOYSA-N,C1CC(N2CC3(CNCC4COCCN43)C2)CCO1,7.593941626336018e-07,False,5.146297,8.177056
CNP0047282,,C28H21F10OP,594.4245596979748,7.453600000000008,CC(C)=C(C(C(=O)C(F)(F)C(F)(F)F)=P(c1ccccc1)(c1ccccc1)c1ccccc1)C(F)(F)C(F)(F)F,GCHXANOZTOGCNL-UHFFFAOYSA-N,C=P(c1ccccc1)(c1ccccc1)c1ccccc1,0.0116728400364457,False,5.4555407,5.424615
CNP0281409,,C20H30O6,366.4493701159501,1.2905999999999989,C=C1CC2OC2C(C)(O)CCC2C3=CC(C(O)C(C)(C)O)OC3OCC12,CWQXZHGXSAZDMP-UHFFFAOYSA-N,C=C1CC2OC2CCCC2C3=CCOC3OCC12,1.0335145864722356e-06,False,5.229251,3.7164164
CNP0000703,,C58H105O23P,1201.416536129507,4.875200000000007,CCCCCCCCCCCCCC=CC=CC(=O)OCC(COP(=O)(O)OC1C(OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)OC(=O)CCCCCCCCCCCCCCCCCC,ADSDFTYHRPAWHX-UHFFFAOYSA-N,C1CCC(OC2CCCC(OC3CCCCO3)C2)OC1,1.0480877958451397e-06,False,8.523959,9.4301
CNP0224519,,C25H29N3O5,451.5158135396028,2.8523000000000014,COc1cc2c(cc1OC)CN(C(=O)CCCCCn1c(=O)[nH]c3ccccc3c1=O)CC2,JDSNAQVGEGFAMZ-UHFFFAOYSA-N,O=C(CCCCCn1c(=O)[nH]c2ccccc2c1=O)N1CCc2ccccc2C1,0.005834320596371,False,7.146055,8.716514
CNP0202939,,C19H22N2O5,358.3891096750583,1.3818399999999995,Cc1cc(O)c2c(C)c(CC(=O)N3CCC(C(N)=O)CC3)c(=O)oc2c1,RMBIRPUQTOIBCR-UHFFFAOYSA-N,O=C(Cc1cc2ccccc2oc1=O)N1CCCCC1,0.9047869264861208,False,5.798752,8.654802
CNP0203180,,C31H62O,450.82454446519625,11.373999999999986,CCCCCCCCCCCCCCCCCCCCCCCC(C)CCC(=O)CCC,CCYJFPNROISFTF-UHFFFAOYSA-N,,0.990261988814029,False,8.467941,9.2360325
CNP0447862,,[C45H50N3O13]+,840.8925267262592,1.41362,Cc1cc(=O)c2cc3c(c([NH+]4C=C5C=CN=C5C4)c2o1)OC1(CCCC(C2CNC(=O)C2)C1)C(OOCC(O)(Cc1ccc(O)c2ccc(O)cc12)C(O)C(O)C(O)CO)C3,HHCCOJBWYMWGRO-UHFFFAOYSA-O,O=C1CC(C2CCCC3(C2)Oc2c(cc4c(=O)ccoc4c2[NH+]2C=C4C=CN=C4C2)CC3OOCCCc2cccc3ccccc23)CN1,0.946385481130138,False,18.885487,10.143296
CNP0176044,,C8H18O5S,226.2919303740532,0.9914,CC(O)CCC(OS(=O)(=O)O)C(C)C,RPESHUOYYLJEQJ-UHFFFAOYSA-N,,0.0007025634992015,False,12.134125,7.1970844
CNP0182275,,C18H16N2O5,340.3307292553156,2.0628,COC(=O)c1ccccc1NC(=O)C1(OC)Nc2ccccc2C1=O,DWUUEFPETVAASH-UHFFFAOYSA-N,O=C(Nc1ccccc1)C1Nc2ccccc2C1=O,0.9990324166649912,False,6.8471103,11.467787
CNP0279546,,C39H48O5,596.7968807962168,9.192800000000002,CCC(C=C1OC(=O)C2=C(c3cccc(O)c3)C3CCC12C1C2=C(CCC31)C(=CCCC1CCCC1)OC2=O)CCC(C)C,BMDFWIHBVKIIHY-UHFFFAOYSA-N,C=C1OC(=O)C2=C(c3ccccc3)C3CCC12C1C2=C(CCC31)C(=CCCC1CCCC1)OC2=O,0.4656642830879387,False,4.1568117,9.323866
CNP0305083,,C40H64O17,816.9275278850498,1.8161000000000005,CC(=O)OC1C(OC(CO)C(O)C(O)C(O)C(=O)OC(C)CCCCCCCCCCCCCCCC(=O)Cc2cccc(O)c2C(=O)O)OC(CO)C(O)C1O,PPTNCWGNQQEDMY-UHFFFAOYSA-N,O=C(CCCCCCCCCCCCCCCCOC(=O)CCCCOC1CCCCO1)Cc1ccccc1,0.9998174961700816,False,8.49621,4.146104
CNP0010049,,C20H21ClN2O3,372.8460325410657,4.1194200000000025,COc1ccc(C(=O)NCCc2c(C)[nH]c3c(Cl)cccc23)cc1OC,DKTGAOACMHIWJV-UHFFFAOYSA-N,O=C(NCCc1c[nH]c2ccccc12)c1ccccc1,0.0097726751713798,False,9.9195795,2.4427009
