NP-ID,molecular_name,molecular_formula,MW,XLogP,SMILES,InChIKey,Murcko_scaffold,Morgan_onbits_r2_n2048,id,p_antagonist,is_top_hit,UMAP1,UMAP2,density,inside_training_space
CNP0343181,,C44H62N2O12,810.9709717407753,3.164900000000003,CC=CC=CC1OC(O)(C(CC)C(=O)NCC=CC=C(C)C(OC)C(C)C2OC(C=CC=CC=C(C)C(O)=C3C(=O)C=CN(C)C3=O)C(O)C2O)C(O)C(O)C1(C)C,NJLYFHQZGXUQAQ-UHFFFAOYSA-N,O=C(CC1CCCCO1)NCC=CC=CCCC1CCC(C=CC=CC=CC=C2C(=O)C=CNC2=O)O1,"[1, 13, 80, 107, 197, 215, 225, 237, 258, 283, 294, 314, 324, 353, 362, 369, 389, 467, 537, 547, 549, 573, 579, 650, 656, 657, 658, 662, 666, 668, 694, 695, 698, 740, 747, 752, 770, 807, 840, 841, 844, 879, 903, 920, 935, 938, 940, 1009, 1013, 1017, 1019, 1042, 1053, 1057, 1060, 1070, 1077, 1145, 1152, 1154, 1193, 1235, 1249, 1257, 1274, 1351, 1370, 1380, 1407, 1416, 1459, 1461, 1487, 1533, 1544, 1576, 1603, 1696, 1710, 1763, 1795, 1800, 1801, 1805, 1839, 1840, 1873, 1890, 1917, 1921, 2000, 2025, 2044]",283034,0.9999999999963374,True,10.356984,7.241929,0.002189667624487928,True
CNP0363941,,C39H44O23S2,944.886576463238,1.6592000000000016,CC(=O)OCC1OC(Sc2c(O)c3c(c(O)c2SC2OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C2OC(C)=O)C(=O)C(O)=C(C)C3=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,JLHCHOYLFCCPEF-UHFFFAOYSA-N,O=C1C=CC(=O)c2cc(SC3CCCCO3)c(SC3CCCCO3)cc21,"[58, 80, 116, 147, 202, 314, 403, 521, 541, 564, 610, 650, 656, 695, 734, 807, 846, 954, 956, 1017, 1019, 1026, 1035, 1057, 1093, 1126, 1136, 1177, 1187, 1204, 1222, 1246, 1380, 1389, 1476, 1537, 1602, 1716, 1722, 1747, 1777, 1856, 1860, 1895, 1917, 1921, 1950]",301654,0.99999999999194,True,7.0666685,5.403985,0.0060400900236784304,True
CNP0009141,,C55H68N4O5,865.1542830494843,8.911300000000006,Nc1cc(CCc2cccc(CCc3ccccc3)c2)c(Cc2cc(O)c(OCO)cc2C=CC(=O)CC(=O)CCCC2(CC3C4CCNCC4CC4C=CCNC43)CCCC2)cn1,HIHHZMVRGWDLRJ-UHFFFAOYSA-N,O=C(C=Cc1ccccc1Cc1cnccc1CCc1cccc(CCc2ccccc2)c1)CC(=O)CCCC1(CC2C3CCNCC3CC3C=CCNC32)CCCC1,"[40, 54, 59, 62, 78, 80, 104, 129, 166, 195, 209, 222, 229, 259, 284, 285, 291, 305, 345, 377, 378, 389, 398, 421, 451, 470, 499, 514, 524, 530, 579, 585, 622, 646, 649, 650, 694, 695, 795, 807, 848, 875, 926, 961, 1012, 1014, 1019, 1020, 1028, 1039, 1045, 1060, 1066, 1083, 1088, 1099, 1114, 1128, 1145, 1152, 1162, 1171, 1179, 1199, 1231, 1243, 1264, 1280, 1292, 1308, 1325, 1349, 1366, 1371, 1380, 1430, 1432, 1452, 1457, 1458, 1503, 1507, 1535, 1562, 1564, 1584, 1602, 1607, 1615, 1625, 1636, 1638, 1750, 1754, 1768, 1772, 1793, 1853, 1873, 1901, 1911, 1917, 1930, 1970, 1992, 2024, 2039]",8078,0.9999999999841148,True,7.0660043,-2.1379864,0.0024428195293042863,True
CNP0441794,,C78H99N9O7,1274.6796979345268,7.333300000000013,CNCC1CC23C4CC5(CC6C7CCNCC7CC7C=CCNC76)CC(CCC52)CC(=O)CC(=O)/C=C(\CO)c2cc(OCO)c(O)cc2CC2=CNC(N)C=C2C(Cc2cccc(CCc5ccccc5)c2)CC#CN/C(N)=N\C2CC(=C5C=CCC(O)C5N4)C3C1C2,CTXHLSYXCZEXCP-IWCHXSMWSA-N,O=C1C=Cc2ccccc2CC2=CNCC=C2C(Cc2cccc(CCc3ccccc3)c2)CC#CNC=NC2CC3=C4C=CCCC4NC4CC5(CC6C7CCNCC7CC7C=CCNC76)CC(CCC5C45CCC(C2)C35)CC(=O)C1,"[35, 40, 44, 54, 59, 78, 80, 84, 99, 104, 106, 130, 180, 183, 209, 222, 225, 226, 231, 242, 260, 264, 287, 296, 305, 310, 312, 314, 345, 352, 378, 389, 398, 403, 439, 458, 463, 470, 471, 478, 499, 509, 514, 530, 547, 554, 565, 576, 585, 598, 612, 619, 622, 625, 646, 649, 650, 679, 688, 695, 706, 735, 807, 837, 848, 849, 875, 878, 900, 916, 918, 926, 946, 953, 962, 989, 991, 998, 1014, 1019, 1025, 1039, 1045, 1057, 1060, 1066, 1068, 1083, 1088, 1099, 1114, 1128, 1152, 1155, 1171, 1172, 1179, 1181, 1183, 1199, 1203, 1205, 1236, 1243, 1257, 1264, 1280, 1292, 1308, 1325, 1330, 1356, 1380, 1429, 1430, 1446, 1452, 1457, 1483, 1507, 1544, 1562, 1564, 1584, 1595, 1599, 1602, 1604, 1607, 1611, 1655, 1658, 1662, 1685, 1691, 1699, 1702, 1750, 1754, 1756, 1772, 1793, 1812, 1832, 1853, 1873, 1879, 1889, 1893, 1901, 1930, 1970, 1973, 1978, 1980, 1992, 1995, 2000, 2013, 2020, 2039]",370141,0.999999999978732,True,21.649298,9.310851,0.0037742879521590073,True
CNP0449334,,C55H70N4O5,867.1701645571359,8.431700000000006,NC1C=C(CCc2cccc(CCc3ccccc3)c2)C(Cc2cc(O)c(OCO)cc2C=CC(=O)CC(=O)CCCC2(CC3C4CCNCC4CC4C=CCNC43)CCCC2)=CN1,ICYZXOCYGMPDBY-UHFFFAOYSA-N,O=C(C=Cc1ccccc1CC1=CNCC=C1CCc1cccc(CCc2ccccc2)c1)CC(=O)CCCC1(CC2C3CCNCC3CC3C=CCNC32)CCCC1,"[40, 54, 59, 78, 80, 88, 104, 129, 166, 183, 195, 209, 222, 229, 259, 285, 291, 305, 345, 389, 398, 421, 463, 470, 499, 514, 524, 530, 585, 622, 646, 649, 650, 694, 695, 795, 807, 831, 844, 848, 854, 875, 900, 918, 926, 953, 961, 993, 1012, 1014, 1019, 1020, 1028, 1039, 1045, 1060, 1066, 1083, 1088, 1099, 1114, 1128, 1145, 1152, 1162, 1171, 1179, 1199, 1205, 1231, 1243, 1264, 1280, 1292, 1308, 1325, 1349, 1371, 1380, 1406, 1430, 1432, 1452, 1503, 1507, 1562, 1564, 1584, 1602, 1607, 1615, 1625, 1638, 1750, 1754, 1768, 1772, 1793, 1832, 1853, 1873, 1901, 1911, 1917, 1930, 1970, 1978, 1992, 2039]",377637,0.9999999999407532,True,8.687028,-1.115522,0.0037976257228238136,True
CNP0008577,,C51H62N4O5,811.0636949393776,7.741000000000008,Nc1cc(CCc2cccc(CCc3ccccc3)c2)c(Cc2cc(O)c(OCO)cc2C=CC(=O)CC(=O)CCCCCC2C3CCNCC3CC3C=CCNC32)cn1,LMWRKKIJVTZFEO-UHFFFAOYSA-N,O=C(C=Cc1ccccc1Cc1cnccc1CCc1cccc(CCc2ccccc2)c1)CC(=O)CCCCCC1C2CCNCC2CC2C=CCNC21,"[40, 62, 78, 79, 80, 104, 129, 166, 209, 222, 229, 259, 284, 291, 305, 334, 345, 377, 378, 389, 398, 421, 451, 470, 499, 514, 524, 530, 579, 585, 622, 626, 646, 649, 650, 694, 695, 807, 832, 848, 875, 926, 961, 1012, 1014, 1019, 1020, 1039, 1045, 1066, 1083, 1088, 1099, 1114, 1128, 1143, 1152, 1171, 1179, 1199, 1231, 1243, 1264, 1267, 1280, 1292, 1308, 1325, 1349, 1366, 1371, 1380, 1430, 1432, 1452, 1457, 1458, 1507, 1535, 1562, 1564, 1584, 1602, 1607, 1615, 1636, 1750, 1754, 1768, 1772, 1793, 1853, 1873, 1901, 1911, 1917, 1970, 1992, 2024, 2039]",7612,0.9999999999356508,True,9.716935,5.1685596,0.004112547571682443,True
CNP0286153,,C43H65NO14,819.9761647535676,2.639100000000004,CC=CC=CC1OC(O)(C(COC2CC(OC)C(O)C(C)O2)C(=O)NCC=CC=C(C)C(OC)C(C)C2CC(O)C(C=CC=CC=CC(=O)O)O2)C(O)C(O)C1(C)C,DJMVKODMYMBIGE-UHFFFAOYSA-N,O=C(NCC=CC=CCCC1CCCO1)C(COC1CCCCO1)C1CCCCO1,"[1, 80, 107, 118, 130, 197, 215, 225, 237, 245, 283, 324, 353, 369, 389, 549, 550, 573, 595, 605, 625, 650, 656, 657, 658, 687, 694, 695, 722, 723, 740, 752, 770, 784, 798, 807, 812, 823, 840, 841, 844, 849, 920, 926, 937, 938, 940, 976, 989, 1002, 1009, 1013, 1017, 1019, 1020, 1027, 1042, 1053, 1057, 1060, 1070, 1077, 1099, 1152, 1154, 1193, 1209, 1235, 1249, 1257, 1274, 1292, 1309, 1351, 1380, 1392, 1416, 1461, 1487, 1509, 1603, 1696, 1763, 1769, 1784, 1800, 1801, 1839, 1890, 1917, 1918, 1921, 2000]",231125,0.99999999993343,True,6.8588777,9.19212,0.0068054287069541294,True
CNP0120122,,C36H53NO11,675.807509647434,2.104000000000001,CC=CC=CC1OC(O)(C(CO)C(=O)NCC=CC=C(C)C(OC)C(C)C2CC(O)C(C=CC=CC=CC(=O)O)O2)C(O)C(O)C1(C)C,IZBLTFVGPNJCEA-UHFFFAOYSA-N,O=C(CC1CCCCO1)NCC=CC=CCCC1CCCO1,"[1, 80, 92, 107, 130, 197, 199, 215, 222, 225, 237, 245, 283, 324, 353, 369, 389, 482, 549, 573, 625, 650, 656, 657, 658, 694, 695, 723, 740, 752, 770, 784, 807, 812, 840, 841, 844, 849, 920, 926, 938, 940, 976, 989, 1009, 1013, 1017, 1019, 1020, 1042, 1053, 1057, 1060, 1070, 1077, 1152, 1154, 1193, 1209, 1235, 1249, 1257, 1274, 1292, 1351, 1380, 1416, 1461, 1603, 1696, 1763, 1800, 1801, 1839, 1890, 1917, 1918, 1921, 2000]",80023,0.9999999999118856,True,8.4601555,6.8999143,0.004992424609042272,True
CNP0452774,,C84H102N8O7,1335.7612323696958,9.746699999999995,N/C1=N/C2CC3=C4C=CCC(O)C4NC4CC5(CC6C7CCNCC7CC7C=CCNC76)CC(CCC5C45CCC(C2CCc2ccccc2)C35)CC(=O)CC(=O)/C=C(\CO)c2cc(OCO)c(O)cc2CC2=CNC(N)C=C2C(Cc2cccc(CCc3ccccc3)c2)CC#CN1,KCDVQXMSKRYTQF-SMQMQUNKSA-N,O=C1C=Cc2ccccc2CC2=CNCC=C2C(Cc2cccc(CCc3ccccc3)c2)CC#CNC=NC2CC3=C4C=CCCC4NC4CC5(CC6C7CCNCC7CC7C=CCNC76)CC(CCC5C45CCC(C2CCc2ccccc2)C35)CC(=O)C1,"[26, 35, 40, 44, 54, 76, 78, 80, 84, 104, 106, 129, 130, 180, 183, 209, 222, 225, 231, 242, 260, 264, 287, 296, 305, 310, 312, 314, 345, 352, 378, 389, 393, 398, 403, 439, 458, 463, 470, 471, 478, 499, 509, 514, 530, 547, 554, 559, 565, 576, 585, 598, 612, 619, 622, 625, 646, 649, 650, 679, 695, 706, 735, 807, 832, 837, 848, 849, 875, 878, 900, 916, 918, 926, 953, 962, 989, 991, 998, 1014, 1019, 1025, 1039, 1045, 1049, 1060, 1066, 1068, 1083, 1088, 1099, 1114, 1128, 1134, 1155, 1162, 1171, 1172, 1179, 1181, 1183, 1199, 1203, 1205, 1236, 1243, 1257, 1264, 1280, 1292, 1308, 1325, 1330, 1356, 1380, 1429, 1446, 1452, 1457, 1483, 1507, 1544, 1562, 1564, 1584, 1595, 1599, 1602, 1607, 1611, 1655, 1658, 1685, 1699, 1717, 1750, 1754, 1756, 1772, 1793, 1812, 1832, 1834, 1853, 1873, 1889, 1893, 1901, 1930, 1970, 1973, 1978, 1980, 1992, 2000, 2002, 2013, 2020, 2039]",381058,0.999999999860698,True,19.432047,8.372525,0.0030121670759670977,True
CNP0456266,,C76H99N9O7,1250.6582261409503,7.023100000000015,CNCC1CC23C4CC5(CC6C7CCNCC7CC7C=CCNC76)CC(CCC52)CC(=O)CC(=O)/C=C(\CO)c2cc(OCO)c(O)cc2CC2=CNC(N)C=C2C(Cc2cccc(CCc5ccccc5)c2)CC#CN/C(N)=N\C2CC(=CC(C(C)O)N4)C3C1C2,MCQSDNVRTLXVQM-PRYDORBJSA-N,O=C1C=Cc2ccccc2CC2=CNCC=C2C(Cc2cccc(CCc3ccccc3)c2)CC#CNC=NC2CC3=CCNC4CC5(CC6C7CCNCC7CC7C=CCNC76)CC(CCC5C45CCC(C2)C35)CC(=O)C1,"[1, 35, 40, 44, 54, 57, 59, 78, 80, 84, 99, 104, 106, 130, 183, 209, 222, 225, 226, 227, 231, 242, 260, 264, 283, 287, 296, 305, 310, 312, 314, 345, 352, 378, 388, 389, 398, 403, 439, 458, 463, 470, 471, 478, 499, 509, 514, 530, 547, 554, 565, 576, 585, 612, 622, 625, 646, 649, 650, 679, 687, 688, 695, 717, 735, 807, 837, 848, 875, 878, 900, 918, 925, 926, 946, 953, 962, 991, 998, 1014, 1019, 1025, 1039, 1045, 1057, 1060, 1066, 1068, 1083, 1088, 1099, 1114, 1128, 1152, 1155, 1171, 1172, 1179, 1181, 1183, 1199, 1203, 1205, 1236, 1243, 1264, 1280, 1292, 1308, 1325, 1330, 1356, 1380, 1429, 1430, 1446, 1452, 1457, 1483, 1507, 1547, 1562, 1564, 1584, 1595, 1599, 1602, 1604, 1607, 1611, 1655, 1662, 1685, 1691, 1699, 1721, 1736, 1750, 1754, 1756, 1772, 1793, 1812, 1832, 1853, 1873, 1879, 1885, 1889, 1901, 1930, 1970, 1978, 1980, 1992, 1995, 2013, 2020, 2039]",384536,0.9999999998502352,True,21.808655,9.4864235,0.0036229065324276566,True
